family,size,macs,n_params,flash_kb,threshold,n_seeds,recall_op,precision_op,precision_op_std,fpr_op,f1_op,roc_auc,pr_auc,pr_auc_std,recall_deploy,recall_deploy_std,precision_deploy,recall_05,precision_05,infer_us,feature_us,latency_ms,ram_kb,fits_flash,fits_ram,meets_latency,feasible,recall_holds
rf,n30_d8,240.0,8228,160.703125,0.2585227761976109,5,0.9623257520176083,0.12059506723535826,0.004829132864546941,0.8664798282291784,0.21590080233406272,0.8389256857554732,0.7506348080454005,0.007641550638328228,0.7856566397652238,0.003790342289974914,0.3627875392581275,0.72505502567865,0.6199811794228356,1283.7,937.4,2.2211,5.34765625,True,True,True,True,False
rf,n50_d10,500.0,23484,458.671875,0.16204550739146484,5,0.9513939838591343,0.1168634668270605,0.004696831964252274,0.8874087467510453,0.20486667062009528,0.8317860941049997,0.7525237470522507,0.0031239484432109125,0.7781731474688188,0.005486157971700704,0.32496967859308673,0.7068965517241379,0.6721311475409836,4007.6,937.4,4.945,5.34765625,True,True,True,True,False
rf,n80_d12,960.0,51468,1005.234375,0.12770238884627144,5,0.9511371973587673,0.11630781172233493,0.0026734976565251224,0.8910294948581761,0.2063141999960263,0.8279797315968984,0.7527748180807085,0.0031938340986176735,0.7789435069699193,0.007513820838764812,0.32819181429444105,0.6843360234776229,0.7941677309493401,8156.0,937.4,9.093399999999999,5.34765625,True,True,True,True,False
svm,linear,21.0,21,0.1640625,0.021307172710387786,5,0.9501100513573,0.19266532767983338,0.0,0.49058650694993783,0.32036613272311215,0.9069475417303453,0.729952575442598,0.0,0.9181951577402788,0.0,0.21169704402249756,0.5484225972120322,0.8735027753432661,37.8,937.4,0.9752,5.34765625,True,True,True,True,False
svm,rbf1k,3612.0,3612,14.9453125,0.012055954538893103,5,0.9501100513573,0.18862261144166365,0.04313473090579652,0.5334297660752627,0.2948542805100182,0.8969928892570856,0.7003433659985596,0.04536687551223881,0.8337857666911225,0.029838916957930367,0.2993440280574138,0.5691489361702128,0.7625952322437946,839.1,937.4,1.7765,5.34765625,True,True,True,True,False
svm,rbf2k,6069.0,6069,25.0,0.008939549483830954,5,0.9501100513573,0.16525458970428356,0.007576097170423194,0.5928398689117415,0.27462623263704805,0.8825976746733137,0.6706388389887815,0.04671284769893623,0.7933969185619956,0.010585417691588913,0.26003418400424355,0.6362802641232576,0.7806030603060305,1710.9,937.4,2.6483000000000003,5.34765625,True,True,True,True,False
svm,rbf4k,9492.0,9492,39.0078125,0.028046142262348344,5,0.9501100513573,0.1814185373555117,0.00922048090622,0.5299401062266923,0.3063729114298388,0.8988445913325115,0.6545211529782592,0.024912578288735377,0.823881144534116,0.050149485680684835,0.4075043630017452,0.5924431401320617,0.7723577235772358,8346.5,937.4,9.2839,5.34765625,True,True,True,True,False
svm,rbf7k,18123.0,18123,74.328125,0.008059977387130973,5,0.9501100513573,0.16403555475805648,0.01660642580943055,0.6043756356650468,0.29258098223615464,0.894889920453103,0.6716978671236071,0.01613744405928935,0.8366837857666912,0.03618137243966207,0.21884235893238757,0.6426999266324285,0.736753574432296,13224.4,937.4,14.1618,5.34765625,True,True,True,True,False
svm,rbf10k,22911.0,22911,93.921875,0.006842756890127243,5,0.9501100513573,0.18181231989295527,0.018224036252293973,0.5325618713978981,0.29168309026409145,0.8936566463151595,0.6593852772426634,0.024561817521485493,0.803081438004402,0.024687560972703686,0.27485344775488,0.5885913426265591,0.7511704119850188,16421.0,937.4,17.358400000000003,5.34765625,True,True,True,True,False
xgb,x50_d2,100.0,350,6.8359375,0.38963818550109863,5,0.9675348495964784,0.13023726637533023,0.0,0.7962029607865295,0.22957240779022958,0.8431622422403366,0.7212196035804938,0.0,0.7402787967718268,0.0,0.344957264957265,0.708547322083639,0.3912691177960093,nan,937.4,nan,nan,True,True,,True,False
xgb,x100_d2,200.0,696,13.59375,0.4650813341140747,5,0.950476889214967,0.12303236069232412,1.3877787807814457e-17,0.8348287942140354,0.2178638245990204,0.8335877534275855,0.715153837549458,0.0,0.723037417461482,0.0,0.37582229001811424,0.7134996331621424,0.3866799204771372,nan,937.4,nan,nan,True,True,,True,False
xgb,x100_d3,300.0,1480,28.90625,0.4647381901741028,5,0.9501100513573,0.1102127659574468,0.0,0.9451915470674652,0.19751391748646382,0.8228934349496446,0.7330303854711996,0.0,0.7670579603815114,0.0,0.3672286617492097,0.7608217168011738,0.3843944027430266,nan,937.4,nan,nan,True,True,,True,False
xgb,x200_d4,800.0,5644,110.234375,0.2909277379512787,5,0.9501100513573,0.1183621241202815,0.0,0.8720533393603797,0.2105006501950585,0.8367075437931606,0.735661515366354,0.0,0.7646735143066764,0.0,0.405032546390751,0.7384446074834923,0.4902581587920117,nan,937.4,nan,nan,True,True,,True,False
xgb,x300_d5,1500.0,14466,282.5390625,0.06590680032968521,5,0.9501100513573,0.11167884785373952,0.0,0.9312464685275172,0.199864956110736,0.8390137222812315,0.7408120791350805,0.0,0.7776962582538518,0.0,0.35154630627642813,0.7191856199559794,0.5597430406852248,nan,937.4,nan,nan,True,True,,True,False
xgb,x400_d6,2400.0,25564,499.296875,0.034051503986120224,5,0.9501100513573,0.11875286565795506,0.0,0.8687987343202621,0.21111835670035867,0.8487442944048542,0.7475033950250982,0.0,0.7723771093176816,0.0,0.3670996425769331,0.712582538517975,0.6457779255319149,nan,937.4,nan,nan,True,True,,True,False
